BBL,ADDRESS,XCOORD,YCOORD
1004350029,130 ST MARK'S PLACE,-73.983596,40.726672
1004360034,131 AVENUE A,-73.983181,40.726909
1003910003,131 AVENUE B,-73.980333,40.725856
1003910036,131 AVENUE C,-73.978505,40.724981
1003790039,131 AVENUE D,-73.975942,40.724634
1004350009,132 1 AVENUE,-73.985136,40.727405
1003780004,132 AVENUE C,-73.977925,40.724921
1003620010,132 AVENUE D,-73.974747,40.723856
1003910035,133 AVENUE C,-73.978468,40.72503
1003790037,133 AVENUE D,-73.975713,40.724579
1003620001,134 AVENUE D,-73.975456,40.72274
1004020011,134 EAST 7 STREET,-73.983143,40.725653
1004360030,135 AVENUE A,-73.983129,40.727146
1004290028,135 EAST 2 STREET,-73.986542,40.723074
1003910006,137 AVENUE B,-73.980281,40.725978
1003910033,137 AVENUE C,-73.9784,40.725124
1004290029,137 EAST 2 STREET,-73.98637,40.723003
1004360001,138 1 AVENUE,-73.984861,40.727765
1003910007,139 AVENUE B,-73.980186,40.726043
1004290002,14 1 AVENUE,-73.98807,40.723334
1003970006,14 AVENUE A,-73.985749,40.722527
1003970033,14 AVENUE B,-73.983743,40.721987
1003720001,14 AVENUE C,-73.980775,40.721058
1004360002,140 1 AVENUE,-73.984796,40.727798
1003780009,140 AVENUE C,-73.977815,40.72507
1004360029,141 AVENUE A,-73.982987,40.727264
1003790034,141 AVENUE D,-73.975629,40.724703
1004360003,142 1 AVENUE,-73.984758,40.72785
1004020015,142 EAST 7 STREET,-73.982829,40.725515
1003910030,143 AVENUE C,-73.978581,40.725255
1003790032,143 AVENUE D,-73.975496,40.724837
1004360004,144 1 AVENUE,-73.984752,40.727913
1004030001,144 AVENUE A,-73.981713,40.726452
1004370031,145 AVENUE A,-73.982884,40.727481
1003920037,145 AVENUE C,-73.978141,40.725515
1004360005,146 1 AVENUE,-73.984705,40.727978
1004370030,147 AVENUE A,-73.982836,40.727548
1004370029,149 AVENUE A,-73.982789,40.727612
1003920004,149 AVENUE B,-73.979903,40.726442
1003920036,149 AVENUE C,-73.978078,40.725603
1004290037,15 AVENUE A,-73.986228,40.7228
1003850042,15 AVENUE C,-73.981192,40.721191
1003720038,15 AVENUE D,-73.978551,40.720593
1004370001,150 1 AVENUE,-73.984355,40.728206
1004310014,150 EAST 4 STREET,-73.986214,40.724439
1004020019,150 EAST 7 STREET,-73.982593,40.725422
1004370028,151 AVENUE A,-73.982743,40.727676
1003920005,151 AVENUE B,-73.979861,40.7265
1003920035,151 AVENUE C,-73.978038,40.725657
1003790005,152 AVENUE C,-73.977489,40.7255
1003670001,152 AVENUE D,-73.973565,40.725494
1004370027,153 AVENUE A,-73.982697,40.72774
1003920006,153 AVENUE B,-73.979854,40.726571
1003920034,153 AVENUE C,-73.977998,40.725711
1003790006,154 AVENUE C,-73.977445,40.72556
1004020021,154 EAST 7 STREET,-73.982474,40.725372
1004370025,155 AVENUE A,-73.982626,40.727837
1003920007,155 AVENUE B,-73.979798,40.726659
1003920033,155 AVENUE C,-73.977957,40.725767
1003970011,155 EAST 2 STREET,-73.985449,40.722611
1004370005,156 1 AVENUE,-73.984328,40.728384
1003790007,156 AVENUE C,-73.977407,40.725612
1003980061,156 EAST 2 STREET,-73.985199,40.722974
1003980008,156 EAST 3 STREET,-73.984783,40.723187
1004020023,156 EAST 7 STREET,-73.982315,40.725305
1003920032,157 AVENUE C,-73.977915,40.725826
1003970012,157 EAST 2 STREET,-73.98528,40.72254
1003990058,157 EAST 3 STREET,-73.984634,40.723619
